,Instrument,Date,Price Open,Price High,Price Low,Price Close,Volume
461,GOOGL.O,2017-10-30T00:00:00Z,1029.16,1039.83,1022.33,1033.13,2340172
462,GOOGL.O,2017-10-31T00:00:00Z,1033.0,1041.0,1026.295,1033.04,1516278
463,GOOGL.O,2017-11-01T00:00:00Z,1036.315,1047.86,1034.0,1042.595,2163073
464,GOOGL.O,2017-11-02T00:00:00Z,1039.99,1045.52,1028.66,1042.97,1334697
465,GOOGL.O,2017-11-03T00:00:00Z,1042.75,1050.66,1037.65,1049.99,1388461
466,GOOGL.O,2017-11-06T00:00:00Z,1049.1,1052.59,1042.0,1042.68,914748
467,GOOGL.O,2017-11-07T00:00:00Z,1049.65,1053.41,1043.0,1052.39,1305229
468,GOOGL.O,2017-11-08T00:00:00Z,1050.05,1062.691,1047.05,1058.29,1214600
469,GOOGL.O,2017-11-09T00:00:00Z,1048.0,1050.88,1035.85,1047.72,1794575
470,GOOGL.O,2017-11-10T00:00:00Z,1043.87,1046.63,1041.22,1044.15,972127
471,GOOGL.O,2017-11-13T00:00:00Z,1040.8,1048.74,1039.26,1041.2,940721
472,GOOGL.O,2017-11-14T00:00:00Z,1037.72,1042.3,1029.33,1041.64,1050566
473,GOOGL.O,2017-11-15T00:00:00Z,1035.0,1039.63,1030.76,1036.41,905262
474,GOOGL.O,2017-11-16T00:00:00Z,1038.75,1051.76,1038.0,1048.47,1188392
475,GOOGL.O,2017-11-17T00:00:00Z,1049.8,1051.0,1033.73,1035.89,1335610
476,GOOGL.O,2017-11-20T00:00:00Z,1036.0,1038.695,1032.675,1034.66,876321
477,GOOGL.O,2017-11-21T00:00:00Z,1040.04,1050.39,1039.14,1050.3,1110341
478,GOOGL.O,2017-11-22T00:00:00Z,1051.16,1055.43,1047.25,1051.92,726898
479,GOOGL.O,2017-11-24T00:00:00Z,1054.39,1060.07,1051.92,1056.52,825369
480,GOOGL.O,2017-11-27T00:00:00Z,1058.57,1073.035,1054.7713,1072.01,1771491
481,GOOGL.O,2017-11-28T00:00:00Z,1073.99,1080.0,1054.54,1063.29,1821171
482,GOOGL.O,2017-11-29T00:00:00Z,1056.18,1058.77,1029.6533,1037.38,2793332
483,GOOGL.O,2017-11-30T00:00:00Z,1039.94,1044.1399,1030.07,1036.17,2254590
484,GOOGL.O,2017-12-01T00:00:00Z,1030.41,1037.245,1016.9,1025.07,1888081
485,GOOGL.O,2017-12-04T00:00:00Z,1027.8,1031.34,1009.22,1011.87,1938861
486,GOOGL.O,2017-12-05T00:00:00Z,1010.99,1036.68,1002.315,1019.6,1949865
487,GOOGL.O,2017-12-06T00:00:00Z,1016.52,1039.58,1015.31,1032.72,1435549
488,GOOGL.O,2017-12-07T00:00:00Z,1036.07,1048.92,1035.36,1044.57,1543285
489,GOOGL.O,2017-12-08T00:00:00Z,1051.81,1056.42,1045.86,1049.38,1558472
490,GOOGL.O,2017-12-11T00:00:00Z,1051.11,1056.0,1044.12,1051.97,1162694
491,GOOGL.O,2017-12-12T00:00:00Z,1050.0,1062.5,1044.87,1048.77,1694061
492,GOOGL.O,2017-12-13T00:00:00Z,1052.08,1055.48,1046.58,1051.39,1384038
493,GOOGL.O,2017-12-14T00:00:00Z,1055.49,1067.08,1053.595,1057.47,1548139
494,GOOGL.O,2017-12-15T00:00:00Z,1063.78,1075.25,1060.0901,1072.0,3187985
495,GOOGL.O,2017-12-18T00:00:00Z,1076.45,1086.49,1070.37,1085.09,1514601
496,GOOGL.O,2017-12-19T00:00:00Z,1083.02,1084.975,1072.2704,1079.78,1317519
497,GOOGL.O,2017-12-20T00:00:00Z,1080.92,1081.235,1068.6,1073.56,1436391
498,GOOGL.O,2017-12-21T00:00:00Z,1075.39,1077.52,1069.0,1070.85,1282025
499,GOOGL.O,2017-12-22T00:00:00Z,1070.0,1071.72,1067.64,1068.86,889446
500,GOOGL.O,2017-12-26T00:00:00Z,1068.64,1068.86,1058.6401,1065.85,918767
501,GOOGL.O,2017-12-27T00:00:00Z,1066.6,1068.27,1058.38,1060.2,1116203
502,GOOGL.O,2017-12-28T00:00:00Z,1062.25,1064.84,1053.38,1055.95,994249
503,GOOGL.O,2017-12-29T00:00:00Z,1055.49,1058.05,1052.7,1053.4,1180340
504,GOOGL.O,2018-01-02T00:00:00Z,1053.02,1075.98,1053.02,1073.21,1588268
505,GOOGL.O,2018-01-03T00:00:00Z,1073.93,1096.1,1073.43,1091.52,1565945
506,GOOGL.O,2018-01-04T00:00:00Z,1097.09,1104.0765,1094.26,1095.76,1302569
507,GOOGL.O,2018-01-05T00:00:00Z,1103.45,1113.5799,1101.795,1110.29,1512526
